"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"47",1,"101386360","328i","rear wheel drive","4","Luxury,Performance","Compact Cars","Midsize","Car","Sedan","Car","4","1997","240","5000","255","1250"
"48",1,"101414454","ActiveHybrid 3","rear wheel drive","4","Luxury,High-Performance,Hybrid","Midsize Cars","Midsize","Car","Sedan","Car","6","2979","335","5800","330","1200"
"49",1,"200704013","320i","rear wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","1997","180","5000","200","1250"
"50",1,"200466556","428i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Midsize","Car","Coupe","Car","4","1997","241","5000","258","1250"
"51",1,"200704628","428i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Midsize","Car","Coupe","Car","4","1997","240","5000","255","1250"
"52",1,"200737898","428i SULEV","rear wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","1997","240","5000","255","1250"
"53",1,"100344930","525i","rear wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","6","2494","184","6000","175","3500"
"54",1,"101212618","535i","rear wheel drive","4","Luxury,Performance","Midsize Cars","Large","Car","Sedan","Car","6","2979","300","5800","300","1200"
"55",1,"101407834","528i","rear wheel drive","4","Luxury","Midsize Cars","Large","Car","Sedan","Car","4","1997","240","5000","260","1250"
"56",1,"200429165","528i","rear wheel drive","4","Luxury","Midsize Cars","Large","Car","Sedan","Car","4","1997","240","5000","260","1250"
"57",1,"200705192","528i","rear wheel drive","4","Luxury","Midsize Cars","Large","Car","Sedan","Car","4","1997","241","5000","258","1450"
"58",1,"200481163","Base","rear wheel drive","2","Factory Tuner,Luxury,High-Performance","Compact Cars","Midsize","Car","Coupe","Car","6","2979","425","5500","406","1850"
"59",1,"200468713","sDrive28i","rear wheel drive","4","Crossover,Luxury,Performance","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","1997","240","5000","260","1250"
"60",1,"200737086","xDrive28i","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","1998","228","5000","258","1250"
"61",1,"100488945","2.5i","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","2494","184","6000","175","3500"
"62",1,"200467352","xDrive35i","all wheel drive","4","Crossover,Luxury,Performance","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","2979","300","5800","300","1200"
"63",1,"101381534","xDrive35i","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","2979","300","5800","300","1300"
"64",1,"100350457","2.5i","rear wheel drive","2","Luxury,Performance","Two Seaters","Compact","Car","Convertible","Car","6","2494","184","6000","175","3500"
"65",1,"100693754","3.0i","rear wheel drive","2","Luxury,Performance","Two Seaters","Compact","Car","Convertible","Car","6","2996","215","6250","185","2750"
"66",1,"100831031","3.0i","rear wheel drive","2","Luxury,Performance","Two Seaters","Compact","Car","Convertible","Car","6","2996","215","6250","185","2750"
"67",1,"101135358","sDrive30i","rear wheel drive","2","Luxury,Performance","Two Seaters","Compact","Car","Convertible","Car","6","2996","255","6600","220","2600"
"68",1,"200482224","Leather Group","front wheel drive","4","N/A","Compact Cars","Midsize","Car","Sedan","Car","4","2384","180","6700","171","4900"
"69",1,"200477000","Premium","all wheel drive","4","Luxury,Performance","Large Cars","Large","Car","Sedan","Car","6","3564","304","6800","264","5200"
"70",1,"101352850","LS","rear wheel drive","4","Crossover,Flex Fuel","Sport Utility Vehicles","Large","Truck","Crew Cab Pickup","Truck","8","5328","320","5400","335","4000"
"71",1,"100701890","LS","front wheel drive","4","N/A","Subcompact Cars","Compact","Car","Sedan","Car","4","1598","103","6000","107","3600"
"72",1,"101339877","LS","front wheel drive","4","N/A","Subcompact Cars","Compact","Car","Sedan","Car","4","1598","108","6400","105","4000"
"73",1,"100563860","Work Truck","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2770","175","5600","185","2800"
"74",1,"100764174","Work Truck","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2921","185","5600","190","2800"
"75",1,"100949597","Work Truck","rear wheel drive","2","N/A","Small Pickup Trucks","Compact","Truck","Regular Cab Pickup","Truck","4","2921","185","5600","190","2800"
"76",1,"200424066","1LT","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","1364","138","4900","148","1850"
"77",1,"101379654","Diesel","front wheel drive","4","Diesel","Midsize Cars","Midsize","Car","Sedan","Car","4","1956","148","4000","258","2000"
"78",1,"200492974","Premier","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","1399","153","5600","177","2000"
"79",1,"200745925","LS","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","1796","138","6300","125","3800"
"80",1,"101349884","LS","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2384","182","6700","172","4900"
"81",1,"101395754","LS","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2384","182","6700","172","4900"
"82",1,"101327237","LS","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2384","169","6400","160","4500"
"83",1,"200697538","LT","front wheel drive","4","N/A","Midsize Cars","Midsize","Car","Sedan","Car","4","2499","196","6300","191","4400"
"84",1,"101020816","Base","front wheel drive","4","Hybrid","Midsize Cars","Midsize","Car","Sedan","Car","4","2384","164","6400","159","5000"
