"","styles.id","Curb Weight","Epa City Mpg","Epa Combined Mpg","Epa Interior Volume","Max Cargo Capacity","Total Number Of Speakers"
"315",101386360,"3406","23","27",NA,NA,NA
"316",101386719,NA,"20","23",NA,"54.6","6"
"317",101387214,NA,"28","32","110.4",NA,"6"
"318",101388389,"3515","22","25",NA,"68.1","6"
"319",101391515,"4090","20","22",NA,"57.3","10"
"320",101392324,"2906","24","27","110.5",NA,"4"
"321",101392514,"2500","53","50","104.5",NA,"4"
"322",101393259,"2800","24","28","105.3",NA,"8"
"323",101393729,NA,"24","28","110.0",NA,NA
"324",101394234,"3027","22","24","122.5",NA,"6"
"325",101394448,"3847","18","21","103.0","34.0","10"
"326",101394744,"2967","23","26",NA,NA,"8"
"327",101395449,"3272","21","24","118.5",NA,"6"
"328",101395754,"3777","22","26",NA,"63.7","6"
"329",101395834,"2535","29","32","82.0","24.0","6"
"330",101395885,"2954","27","30","103.0","41.3","6"
"331",101400169,"3946","20","22",NA,"95.4","6"
"332",101400238,"4641","28","28",NA,"94.1","6"
"333",101400294,"4647","94","95","120.0","63.4","7"
"334",101400295,"3619","19","22",NA,"13.3","8"
"335",101400471,"3435","43","41","115.8",NA,"6"
"336",101400983,"4398","15","17",NA,"62.9","10"
"337",101403354,"5549","14","16",NA,"108.3","6"
"338",101403454,"2729","25","29","111.5",NA,"4"
"339",101403464,"2496","27","29","114.4","57.3","4"
"340",101403689,"3216","23","27","120.7",NA,"6"
"341",101404650,"3108","27","31","101.9",NA,"4"
"342",101404684,"3254","27","30","119.0",NA,"4"
"343",101406759,"5305","15","17",NA,"91.9","9"
"344",101407259,"3087","23","26","119.8","51.9","6"
"345",101407834,"3814","23","27","116","14.0","10"
"346",101410564,"3262","26","30",NA,NA,NA
"347",101411116,"3389","19","22","139.7","71.3","4"
"348",101411349,"3146","43","42","100.4",NA,"6"
"349",101413439,"3840","19","22","98.7","10.8","8"
"350",101413824,"3933","20","24","117.0","14.9","10"
"351",101413924,"2744","23","26","102.8",NA,"4"
"352",101414454,"3860","25","28","110.0",NA,NA
"353",101415929,"3230","24","28","117.6",NA,"6"
"354",101418219,"2910","24","28","101.7",NA,"6"
"355",101418554,"5540","13","15",NA,"71.0","11"
"356",101419294,"2844","26","29","114.0","49.4","4"
"357",101419636,"2734","27","30","104.4",NA,"4"
"358",101419958,"3312","42","45","105.4",NA,"6"
"359",101420021,"4557","17","20",NA,"80.7","6"
"360",101420410,"2888","20","24",NA,"4.6","4"
"361",101420715,"3042","51","50","115.3","39.6","4"
"362",101422167,"2745","26","30","119.1","51.0","6"
"363",101422464,"4112","17","19",NA,"53.0","11"
"364",101422881,"3435","24","26","140.3","73.4","6"
"365",101426246,"2661","28","32","110.4",NA,"6"
"366",200417702,"3199","24","28","120.2",NA,"6"
"367",200418483,"1852","34","36","53.2","7.8","2"
"368",200419051,"2483","28","31","103.4","49.8","6"
"369",200421412,"2907","26","30","103.1",NA,"4"
"370",200421600,"2537","29","33","100.5","26.0","4"
"371",200421955,"3360","21","23","194.7","129.6","2"
"372",200422450,"3760","20","23","144.2","70.2","6"
"373",200423140,"3070","23","26","103.1",NA,"8"
"374",200424007,"3781",NA,"98",NA,NA,"6"
"375",200424066,NA,"26","30","109.6",NA,"6"
"376",200426349,"2778","23","25","121.6","53.4","8"
"377",200427368,"2127","36","37","77.3","16.7","6"
"378",200428354,"3362","24","27",NA,NA,"10"
"379",200429042,"2577","28","31","111.4","57.3","4"
"380",200429084,"3276","23","25",NA,"57.9","4"
"381",200429165,"3814","23","28","116","14.0","10"
"382",200429482,"2690","26","30","109.6","47.7","4"
"383",200431095,"2767","26","29","104.4",NA,"4"
"384",200431135,"3166","22","26","117.9",NA,"6"
"385",200431776,"3041","30","34","108.7",NA,"8"
"386",200431827,"3250","21","23",NA,NA,"4"
"387",200432339,"3538","22","25","93.0",NA,NA
"388",200433269,"4420","18","21",NA,"148.5","7"
"389",200434266,"2701","27","30","80.0","23.3","6"
"390",200435482,"2959","27","29","97.2","35.9","6"
"391",200435540,"3034","21","25","108.7",NA,"8"
"392",200435811,"3397","18","21","119.2","56.1","8"
"393",200435874,"4310","18","21",NA,"150.0","4"
"394",200436003,"2901","25","30","116.3",NA,"8"
"395",200436009,"3365","23","26","138.7","70.9","6"
"396",200437418,"2557","29","32",NA,"7.0","6"
"397",200437626,"2747","41","42","100.9","31.5","2"
"398",200437667,"3130","43","42","100.4",NA,"6"
"399",200437793,"3898","18","21","101.7",NA,"6"
"400",200438198,"4525","17","19",NA,"89.7","8"
"401",200438409,"3760","17","18","101.2","55.0","6"
"402",200439582,"4905","16","19","151.1","84.5","9"
"403",200439670,"2969","28","32","111.6","42.8","10"
"404",200439762,"2354","27","30","105.1","14.9","2"
"405",200440600,"3042","51","50","115.3","39.6","8"
